Dataset,CV_Folds,Method,Replication_ACC,Replication_AUC,Replication_F1,Replication_AP,Replication_GMean,Paper_ACC,Paper_AUC,Paper_F1,Paper_AP,Paper_GMean,Status
WINE,100,GAN,94.73,0.9638,0.7391,0.7567,0.5407,,,,,,OK
WINE,100,ADASYN,98.96,0.9998,0.8675,0.7706,0.9395,,,,,,OK
WINE,100,Borderline-SMOTE,98.68,0.9792,0.8778,0.7757,0.9359,,,,,,OK
WINE,100,SMOTE-Tomek,91.62,0.9997,0.8787,0.8459,0.9250,,,,,,OK
WINE,100,SMOTE-ENN,99.94,0.9994,0.9012,0.8413,0.9394,,,,,,OK
WINE,100,AdaBoost,98.77,0.9997,0.8915,0.8086,0.9521,,,,,,OK
WINE,100,RUSBoost,98.18,0.9992,0.9817,0.9981,1.0000,,,,,,OK
WINE,100,HUE,98.65,0.9814,0.9747,0.9604,0.9809,,,,,,OK
YEAST5,100,CSRBoost,98.16,0.9312,0.7142,0.5387,0.8899,98.32,0.93,0.71,0.54,0.89,OK
YEAST5,100,SMOTified-GAN,97.41,0.9741,0.9591,0.3244,0.5507,,,,,,OK
YEAST5,100,GAN,96.96,0.9529,0.9717,0.5606,0.6685,,,,,,OK
YEAST5,100,ADASYN,98.04,0.9180,0.7191,0.5467,0.8628,,,,,,OK
YEAST5,100,Borderline-SMOTE,98.34,0.9364,0.7075,0.5319,0.9019,,,,,,OK
YEAST5,100,SMOTE-Tomek,98.27,0.8996,0.7345,0.5664,0.8910,,,,,,OK
YEAST5,100,SMOTE-ENN,98.22,0.9575,0.7576,0.5980,0.9571,,,,,,OK
YEAST5,100,AdaBoost,98.41,0.8289,0.7176,0.5420,0.8862,,,,,,OK
YEAST5,100,RUSBoost,97.30,0.9584,0.6798,0.5201,0.9847,,,,,,OK
YEAST5,100,HUE,93.85,0.9683,0.5979,0.4290,0.9935,,,,,,OK
YEAST5-ERL,100,CSRBoost,99.88,0.6050,0.4700,0.4718,0.4700,99.93,0.61,0.47,0.47,0.47,OK
YEAST5-ERL,100,SMOTified-GAN,,,,,,,,,,,N/A
YEAST5-ERL,100,GAN,,,,,,,,,,,N/A
YEAST5-ERL,100,ADASYN,,,,,,,,,,,N/A
YEAST5-ERL,100,Borderline-SMOTE,99.45,0.9935,0.7117,0.6441,0.8592,,,,,,OK
YEAST5-ERL,100,SMOTE-Tomek,99.45,0.9937,0.9329,0.8829,0.9998,,,,,,OK
YEAST5-ERL,100,SMOTE-ENN,99.43,0.9930,0.9392,0.8978,0.9998,,,,,,OK
YEAST5-ERL,100,AdaBoost,94.08,0.9996,0.9408,0.9167,0.9697,,,,,,OK
YEAST5-ERL,100,RUSBoost,99.66,0.9905,0.8638,0.8024,0.9975,,,,,,OK
YEAST5-ERL,100,HUE,98.94,0.9922,0.6265,0.4954,0.9982,,,,,,OK
CARGOOD,100,CSRBoost,95.79,0.9859,0.8175,0.6758,0.9778,98.21,0.98,0.95,0.98,0.97,OK
CARGOOD,100,SMOTified-GAN,93.11,0.9911,0.9273,0.9875,0.7955,,,,,,OK
CARGOOD,100,GAN,94.87,0.9916,0.9513,0.9866,0.9350,,,,,,OK
CARGOOD,100,ADASYN,99.26,0.9604,0.9135,0.8402,0.9401,,,,,,OK
CARGOOD,100,Borderline-SMOTE,99.30,0.9573,0.8363,0.7309,0.9400,,,,,,OK
CARGOOD,100,SMOTE-Tomek,99.59,0.9552,0.8859,0.7854,0.9398,,,,,,OK
CARGOOD,100,SMOTE-ENN,96.49,0.9903,0.8397,0.7598,0.9780,,,,,,OK
CARGOOD,100,AdaBoost,99.93,0.9985,0.9786,0.9750,0.9893,,,,,,OK
CARGOOD,100,RUSBoost,99.08,0.9784,0.8454,0.6988,0.9928,,,,,,OK
